NU_ANO;CO_CURSO;DS_VT_ACE_OFG;DS_VT_ACE_OCE;NT_FG_D1_CT;NT_FG_D2_CT;NT_CE_D1;NT_CE_D2;NT_CE_D3
2022;1132074;10011100;911090000910010109800911190;37.5;25;20;0;0
2022;1132074;01110010;900090100911001109801910090;62.5;0;10;0;100
2022;1132074;11101101;900190111910000009800900190;75;37.5;50;0;0
2022;1132074;00100010;901190100910010009811900091;75;100;40;0;0
2022;1132074;11111110;901190110910001009800900190;25;37.5;0;0;0
2022;1132074;01110100;910090110911101109811900090;0;0;0;0;0
2022;1132074;01101111;910191100901010009800900090;87.5;75;30;0;0
2022;1132074;11100111;911190000900110009800900190;50;62.5;0;0;100
2022;1132074;01111101;901191101910001009800900090;50;75;0;0;0
2022;1132074;01110101;900190001911000009801911090;37.5;75;80;0;0
2022;1132074;11101110;900090101910001009801900191;50;62.5;40;0;0
2022;1132074;11110111;910090000900101109800901191;37.5;37.5;30;0;0
2022;1132074;01101111;900090101901001109800901090;75;75;30;0;100
2022;1132074;11111101;910191101910000009800900091;37.5;87.5;30;0;0
2022;1132074;01011001;911090001901010009801911190;37.5;62.5;0;70;0
2022;1132074;01110111;900091100901010009811900090;87.5;75;0;80;75
2022;1132074;11111111;900090100910010009811900091;100;75;0;0;75
2022;1132074;11101101;901090100911010009811900090;50;100;20;100;0
2022;1132074;01010000;910091111901011009800910190;75;75;0;70;0
2022;1132074;11111111;900090000900001019810910190;100;87.5;80;70;0
2022;1132074;11110101;911091100900010009801901191;87.5;62.5;0;0;25
2022;1132074;01111111;901191000900000009811900190;87.5;100;100;50;50
2022;1132074;01111011;901191001910010019800900091;75;87.5;40;90;0
2022;1132074;11110101;901091001911111109800900190;37.5;50;30;0;25
2022;1132074;11111011;910190001911001009811900190;25;75;20;0;50
2022;1132074;01111111;900190000910001019801900191;100;37.5;80;70;75
2022;1132074;01110111;911191010901011009801900091;87.5;87.5;0;0;0
2022;1132074;11101101;900190111910000009810910191;100;75;60;0;25
2022;1132074;00111111;901190111911000009800901191;37.5;87.5;0;10;50
2022;1132074;11111111;910190111911000009801900190;62.5;62.5;10;0;50
2022;1132074;01101111;910091110911001119801900190;62.5;100;20;0;0
2022;1132074;11111101;900191111901011009800901190;25;25;100;80;50
2022;1132074;01111111;900190101901010119801911090;62.5;75;50;30;75
2022;1132074;10111111;911191101911100009810911090;75;37.5;0;10;75
2022;1132074;11111001;900191101901101109811910190;50;87.5;70;100;0
2022;1132074;11111111;901091111911101119800900190;100;62.5;50;70;0
2022;1132074;11111111;900191111910000119810911190;75;100;30;70;0
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;;;;;;;
2022;13089;01111111;019090000000000109000000000;87.5;100;35;32.5;10
2022;13089;01110010;119090000110100009000110010;37.5;37.5;0;0;0
2022;13089;11110101;119091001000000009000100000;62.5;75;55;30;0
2022;13089;11111111;019190001111110009000000000;0;0;0;0;0
2022;13089;11100111;019091100000000119000100000;50;100;45;45;12.5
