"NU_ANO","CO_CURSO","NU_ITEM_OFG","NU_ITEM_OFG_Z","NU_ITEM_OFG_X","NU_ITEM_OFG_N","NU_ITEM_OCE","NU_ITEM_OCE_Z","NU_ITEM_OCE_X","NU_ITEM_OCE_N","DS_VT_GAB_OFG_FIN","DS_VT_GAB_OCE_FIN","DS_VT_ESC_OFG","DS_VT_ACE_OFG","DS_VT_ESC_OCE","DS_VT_ACE_OCE","TP_PRES","TP_PR_GER","TP_PR_OB_FG","TP_PR_DI_FG","TP_PR_OB_CE","TP_PR_DI_CE","TP_SFG_D1","TP_SFG_D2","TP_SCE_D1","TP_SCE_D2","TP_SCE_D3","NT_GER","NT_FG","NT_OBJ_FG","NT_DIS_FG","NT_FG_D1","NT_FG_D1_PT","NT_FG_D1_CT","NT_FG_D2","NT_FG_D2_PT","NT_FG_D2_CT","NT_CE","NT_OBJ_CE","NT_DIS_CE","NT_CE_D1","NT_CE_D2","NT_CE_D3","CO_RS_I1","CO_RS_I2","CO_RS_I3","CO_RS_I4","CO_RS_I5","CO_RS_I6","CO_RS_I7","CO_RS_I8","CO_RS_I9"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","AAACDEAE","00111100","CEAAABBECAAAACCEDAADABAADEA","101090010009019901009009100",555,555,555,555,555,555,555,555,333,555,555,34,"55.7",50,"64.3","55.5","77.5",50,73,65,75,"26.8","28.6","16.7",0,50,0,"C","C","B","E","D","C","A","C","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","ADAEDECA","01101100","CEADAEACBCEAEBEEABEBAAADDAE","101091000109009900019009100",555,555,555,555,555,555,555,555,555,555,555,"34.1","52.2",50,"55.5","65.5","77.5","62.5","45.5","77.5","37.5","28.1","28.6",25,0,50,25,"D","C","B","E","D","D","A","D","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDACBECC","01110101","CCADBCDECCADEEECCDECAEAACAE","101090110109009910009109000",555,555,555,555,555,555,555,555,555,555,333,"35.9","58.8","62.5","53.3","55.5","77.5",50,51,55,50,"28.3","33.3",0,0,0,0,"C","C","C","B","B","C","B","C","C"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","AEAEEECC","00100101","CCABABEEABEDDCCEEBDBDCDDDDE","101190011009019900019009100",555,555,555,555,555,555,555,555,555,555,555,"36.2","47.7","37.5",63,73,65,75,53,65,50,"32.4","38.1",0,0,0,0,"D","B","C","B","D","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","EDACAECE","01110100","CCDCBADEAAEABBEDDDDEEEDADAC","100090111009109900009109100",555,555,555,555,555,555,555,555,555,555,555,"36.3","51.7",50,"54.3","65.5","77.5","62.5",43,65,"37.5","31.1","33.3","18.3",30,25,0,"D","D","C","A","E","B","B","B","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDACCECA","01110100","EEBBBADEBAEABEBAEBDBECDBDDE","000190110009109900019009100",555,555,555,555,555,555,555,555,555,555,555,"36.4","65.1",50,"87.8",100,100,100,"75.5","77.5",75,"26.8","28.6","16.7",0,0,50,"D","A","C","E","D","C","B","C","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDDEABDC",11000011,"CEAADEACBABABADAEADCECDADDE","101091000009109901009009100",555,555,555,555,555,555,555,555,333,555,555,"36.8","62.8",50,82,"88.5","42.5",100,"75.5","77.5",75,"28.1","28.6",25,0,50,25,"D","A","B","A","C","D","B","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","CDACADCC","01110001","CEDACEDADAADBCCECACDEAEDDAE","100091100009119911009019100",555,555,555,555,555,555,335,555,333,555,555,"37.2","31.7",50,"4.3",0,0,0,"8.5","42.5",0,39,"42.9","16.7",0,50,0,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","CDAECEAC","01100101","CEACBADDBADEBACCEACCBEADDEE","101090100019109901009109100",555,555,555,555,555,555,555,555,555,555,555,"38.2","44.5",50,"36.3",29,45,25,"43.5","67.5","37.5","36.1","38.1",25,0,50,25,"C","C","C","E","E","D","B","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDAEBEAE",11100100,"CEACADAEBCBADCEAEBDAECDDDBE","101090010109019900009009110",555,555,555,555,555,555,555,555,555,555,555,"39.5","54.2",50,"60.5","45.5","77.5","37.5","75.5","77.5",75,"34.6","33.3","41.7",0,50,75,"D","C","C","B","D","C","A","C","A"
